Título,URL,Estado,Frecuencia,Tamaño,Hastags,Materia
Asociación Andaluza de Enfermería Comunitaria (ASANEC),https://www.asanec.es,Activa,Semestral,Pequeno,Enfermería / Atención primaria / Asociaciones / Andalucía,Medicina
Escenarios de Sevilla,https://www.escenariosdesevilla.org,Activa,Semestral,Pequeno,Teatro / Teatros / Sevilla,Arte
La gaceta de Almería,https://www.lagacetadealmeria.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Almería / Andalucía,Prensa
"Coto Bajo (Guadalcazar, Córdoba)",https://cotobajo.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
"CEIP 19 de Abril (Dos Hermanas, Sevilla)",http://ceip19deabril.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
IES Alhaken II (Córdoba),https://blogsaverroes.juntadeandalucia.es/alhaken/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
Ayuntamiento de Armilla,https://armilla.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Granada,Administración
Jiribilla Teatro (Granada),http://www.jiribilla.es,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Granada,Arte
"CEIP La Noria (Lepe, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceiplanoria/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP Teodosio (Sevilla),https://www.ceipteodosio.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"Bodega Gonzalo Beltrán (Ronda, Málaga)",https://bodegagonzalobeltran.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Málaga,Bebidas
"CEIP Alfredo Gil (Peñarroya-Pueblonuevo, Córdoba)",https://alfredo-gil.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
Biblioteca Pública Municipal Castilleja de la Cuesta (Sevilla),https://www.bibliotecaspublicas.es/castilleja/,Activa,Semestral,Mediano,Bibliotecas / Patrimonio bibliográfico y documental / Instituciones culturales / Sevilla,Bibliotecas
"IES Guadaiza (San Pedro de Alcántara, Málaga)",https://blogsaverroes.juntadeandalucia.es/iesguadaiza/,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
IES El Palo (Málaga),https://www.ieselpalo.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
La voz de Alcalá,https://www.lavozdealcala.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
IES Az-Zait (Jaén),https://www.iesaz-zait.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Pedro Jiménez Montoya (Baza, Granada)",https://www.iespedrojimenezmontoya.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
Museo Picasso Málaga,https://www.museopicassomalaga.org,Activa,Semestral,Mediano,Museos de arte / Pintura / Instituciones culturales / Málaga,Bellas artes
"CEIP Pablo Picasso (Alhaurín el Grande, Málaga)",https://ceippicasso.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"Far West: cerveza artesanal de Almería (Níjar , Almería)",https://www.cervezasfarwest.com,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Almería,Bebidas
CEIP San Fernando (Córdoba),https://blogsaverroes.juntadeandalucia.es/ceipsanfernandocordoba/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"Biblioteca Pública Municipal José Fernando Alcaide Aguilar (Marchena, Sevilla)",https://www.bibliotecaspublicas.es/marchena/,Activa,Semestral,Mediano,Bibliotecas / Patrimonio bibliográfico y documental / Instituciones culturales / Sevilla,Bibliotecas
Consejo Consultivo de Andalucía,https://consejoconsultivodeandalucia.es,Activa,Anual,Mediano,Organismos administrativos / Administración autonómica / Consejos consultivos,Administración
Sevilla taurina,http://www.sevillataurina.com,Activa,Semestral,Pequeno,Antropología cultural y social / Toros / Tauromaquia / Sevilla,Juegos
"CEPR Alto Genal (Parauta, Málaga)",http://cpraltogenal.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
Consejo General de Hermandades y Cofradías de Sevilla,https://www.hermandades-de-sevilla.org,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
"Asociación Astronómica Luz Cero (Campo de Gibraltar, Cádiz)",http://www.luz-cero.es,Activa,Semestral,Pequeno,Astronomía / Asociación / Cádiz,Astronomía
"CEIP Cervantes (Dos Hermanas, Sevilla)",http://ceipcervantesdoshermanas.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
Centro histórico,https://centrohistorico.info,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
"Tenemos Gato (Fuengirola, Málaga)",https://www.tenemosgato.es,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Málaga,Arte
"Bodegas Infante (La Palma del Condado, Huelva)",https://www.dinfante.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Huelva,Bebidas
IES Albert Einstein (Sevilla),http://www.iesae.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"Bodegas Faustino González (Jerez de la Frontera, Cádiz)",https://bodegasfaustinogonzalez.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
Ayuntamiento de La Rinconada,https://www.larinconada.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Sevilla,Administración
"Samaria (Linares, Jaén)",https://aceitessamaria.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Molino El Salado (Olvera, Cádiz)",https://www.molinoelsalado.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cádiz,Alimentaria
La plaza información: periódico digital de la Sierra Morena sevillana,http://www.laplazainformacion.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
Montalbán digital,https://www.montalban-digital.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
CEIP Ignacio Sánchez Mejías (Sevilla),https://ceipism.wixsite.com/ignaciosanchezmejias,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Carlos III (La Carlota, Córdoba)",http://ceipcarlostercero.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud (FIMABIS),https://fimabis.org/?lang=es,Activa,Semestral,Pequeno,Salud pública / Ciencias biomédicas / Investigación / Asociaciones / Málaga,Salud pública
"IES Santa Isabel de Hungría (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700172/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Subbéticahoy,https://www.subbeticahoy.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
Colegio de Arquitectos de Almería,https://www.coaalmeria.com,Activa,Semestral,Pequeno,Arquitectura / Arquitectos / Asociaciones / Almería,Arquitectura
Sociedad Andaluza de Nefrología,https://nefrosan.com/san/,Activa,Semestral,Pequeno,Medicina / Nefrología / Asociaciones / Andalucía,Medicina
Ilustre Colegio Oficial de Farmacéuticos de Granada,https://www.cofgranada.com,Activa,Semestral,Pequeno,Farmacología / Farmacéuticos / Asociaciones / Granada,Farmacología
CEIP Gadir (Cádiz),https://ceipgadir.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Minusmal (Granada),http://minusmal.net,Activa,Semestral,Pequeno,Teatro de títeres / Compañías teatrales / Granada,Arte
CEIP Salvador Vinuesa (Córdoba),http://www.salvadorvinuesa.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
El diario de Triana.es,https://www.eldiariodetriana.es/blog/,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
"Títeres Etcétera (Güéjar Sierra, Granada)",https://titeresetcetera.com,Activa,Semestral,Pequeno,Teatro de títeres / Compañías teatrales / Granada,Arte
CEIP Adriano del Valle (Sevilla),http://www.ceipadrianodelvalle.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Ciudad de Dalías (Dalías, Almería)",http://www.iesdalias.es/clasica/,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"IES Alhajar (Pegalajar, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700761/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
Ilustre Colegio Oficial de Dentistas de Córdoba,https://www.colegiodentistascordoba.es,Activa,Semestral,Pequeno,Medicina / Dentistas / Asociaciones / Córdoba,Medicina
"CEIP Capitulaciones (Santa Fe, Granada)",http://www.colegiocapitulaciones.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Antonio Pérez Cerezo (Martos, Jaén)",http://ceipantonioperezcerezo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"Schatz (Ronda, Málaga)",https://f-schatz.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Málaga,Bebidas
Utrera al día,https://utreraaldia.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
"CEIP Hermanos Arellano (Galaroza, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceiphermanosarellano/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Miguel de Cervantes (Fuengirola, Málaga)",http://ceipmigueldecervantesfuengirola.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"IES Luz del Mar (El Ejido, Almería)",https://blogsaverroes.juntadeandalucia.es/iesluzdelmar/,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
Hospital San Juan de Dios del Aljarafe (Sevilla),https://www.hsjda.es,Activa,Semestral,Pequeno,Hospitales / Servicios de salud / Medicina / Sevilla,Salud pública
"IES Nuevo Scala (Rute, Córdoba)",https://www.iesnuevoscala.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES Sierra Blanca (Marbella, Málaga)",https://www.iessierrablanca.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
Ayuntamiento de Úbeda,https://aytoubeda.transparencialocal.gob.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Jaén,Administración
"Luque (Castro del Río, Córdoba)",https://alcubilla2000.com/es-es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
Información y Documentación Especializada de Andalucía,https://www.bibliotecasdeandalucia.es/web/red-de-centros-de-documentacion-de-bibliotecas-especializadas-red-idea-,Activa,Semestral,Mediano,Bibliotecas especializadas / Centros de documentación / Instituciones culturales,Bibliotecas
Líquida Teatro La (Málaga),https://www.laliquida.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Málaga,Arte
"IES Alyanub (Vera, Almería)",https://www.iesalyanub.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Juan Ramón Jiménez (Fuente Palmera, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/41008830/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES Acci (Guadix, Granada)",https://blogsaverroes.juntadeandalucia.es/iesacci/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
Almazara La Ribera (Deifontes),http://www.almazaralaribera.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
CEIP Los Morales (Málaga),http://www.ceiplosmorales.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Sacratif (Motril, Granada)",https://blogsaverroes.juntadeandalucia.es/cpsacratif/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
Teatro Góngora (Córdoba),https://teatrocordoba.es/recintos/teatro-gongora/,Activa,Semestral,Pequeno,Teatros / Instituciones culturales / Córdoba,Arte
IES Fuente de la Peña (Jaén),https://www.iesfuente.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
Asociación de la prensa de Córdoba,http://asprencor.com,Activa,Mensual,Pequeno,Periodismo / Periodistas / Asociaciones / Córdoba,Prensa
"Biblioteca Pública Municipal Tomás Beviá (Écija, Sevilla)",https://www.bibliotecaspublicas.es/ecija,Activa,Semestral,Mediano,Bibliotecas / Patrimonio bibliográfico y documental / Instituciones culturales / Sevilla,Bibliotecas
"Olivarera Ntra. Sra. de la Luna (Villanueva de Córdoba, Córdoba)",https://olivaluna.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Córdoba,Alimentaria
Denominación de origen Montes de Granada,http://domontesdegranada.com,Activa,Anual,Mediano,Aceite de oliva / Denominaciones de origen / Granada,Alimentaria
TIF Granada Festival : festival de artes escénicas para la infancia y la familia (Granada),https://tifgranada.com,Activa,Semestral,Pequeno,Teatro / Festivales / Granada,Arte
"IES José Saramago (Humilladero, Málaga)",http://www.iesjosesaramago.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Navas de Tolosa (La Carolina, Jaén)",http://colegiolasnavasdetolosa.over-blog.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
Alhama comarcal,https://alhama.com/digital/medios/alhama-comarcal,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Almería / Andalucía,Prensa
IES Macarena (Sevilla),http://iesmacarena.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Sevilla,Educación
Red Municipal de Bibliotecas de Sevilla,http://rmbs.es/inicio.php,Activa,Semestral,Mediano,Bibliotecas / Patrimonio bibliográfico y documental / Instituciones culturales / Sevilla,Bibliotecas
"CEIP Ruperto Fernández Tenllado (Rute, Córdoba)",http://ceipruperto.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Virgen del Mar (Albuñol, Granada)",http://virgendelmarlarabita.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
La voz de Torremolinos,https://lavozdetorremolinos.wordpress.com/tag/la-voz-de-torremolinos/,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
"Hermandad del Gran Poder (Castilleja de la Cuesta, Sevilla)",https://www.gran-poder.es,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
"IES Zaframagón (Olvera, Cádiz)",https://www.ieszaframagon.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Profesor Tierno Galván (Aljaraque, Huelva)",https://blogsaverroes.juntadeandalucia.es/colegiocorrales/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
